name,nickname,wins,losses,draws,height_cm,weight_in_kg,reach_in_cm,stance,date_of_birth,significant_strikes_landed_per_minute,significant_striking_accuracy,significant_strikes_absorbed_per_minute,significant_strike_defence,average_takedowns_landed_per_15_minutes,takedown_accuracy,takedown_defense,average_submissions_attempted_per_15_minutes,,match_results
Abel Cullum,The Silent Assassin,20,6,0,170.18,63.05,,Orthodox,4/21/1987,1.82,40,1.23,46,4.01,52,0,2.8,,win
Andre Galvao,,5,2,0,170.18,76.2,,Orthodox,9/29/1982,2.34,52,1.56,58,2.02,27,0,2.8,,win
Dan Lauzon,The Upgrade,17,6,0,177.8,70.31,,Orthodox,3/30/1988,1.34,25,4.09,61,1.63,33,80,2.7,,win
Darrick Minner,,26,14,0,170.18,65.77,175.26,Orthodox,4/28/1990,2.63,65,2.28,35,2.4,72,66,2.7,,win
Edson Berto,Little Tiger,17,12,1,167.64,70.31,,Orthodox,7/5/1983,1.76,36,4.62,47,5.47,40,0,2.7,,win
Khamzat Chimaev,Borz,13,0,0,187.96,83.91,190.5,Orthodox,5/1/1994,5.72,58,3.46,42,3.99,46,100,2.7,,win
Carlton Jones,,1,4,0,185.42,102.06,,Orthodox,,2.32,41,3.58,56,4.02,50,57,2.7,,loss
Charles Oliveira,Do Bronxs,34,9,0,177.8,70.31,187.96,Orthodox,10/17/1989,3.54,53,3.19,51,2.32,40,55,2.7,,win
Matt Horwich,Suave,30,25,1,185.42,83.91,,Orthodox,10/2/1978,1.11,62,2.16,38,0.33,9,28,2.7,,win
Charles McCarthy,Chainsaw,10,5,0,177.8,83.91,180.34,Orthodox,8/6/1980,0.18,12,4.03,56,2.67,60,0,2.7,,win
Jeff Bedard,Little Popeye,13,3,0,167.64,65.77,,Orthodox,2/6/1970,0.8,51,0,100,3.43,66,100,2.6,,win
Roybert Echeverria,The Unbroken,7,1,0,165.1,56.7,170.18,Switch,8/21/1995,2.95,53,2.52,57,0,0,71,2.6,,win
Julian Marquez,The Cuban Missile Crisis,9,4,0,187.96,83.91,182.88,Orthodox,5/8/1990,4.86,44,4.99,51,0,0,53,2.6,,win
Allan Goes,,10,5,2,182.88,92.99,,Orthodox,4/20/1971,0.64,52,1.35,41,1.75,40,0,2.6,,win
Joseph Morales,,9,2,0,167.64,56.7,175.26,Switch,8/22/1994,1.58,37,1.72,60,0.53,50,23,2.6,,win
