wins,losses,draws,height_cm,reach_in_cm,stance,significant_strikes_landed_per_minute,significant_striking_accuracy,significant_strikes_absorbed_per_minute,significant_strike_defence,average_takedowns_landed_per_15_minutes,takedown_accuracy,takedown_defense,average_submissions_attempted_per_15_minutes,match_results
20,6,0,170.18,182.88,Orthodox,1.82,40,1.23,46,4.01,52,0,2.8,win
5,2,0,170.18,182.88,Orthodox,2.34,52,1.56,58,2.02,27,0,2.8,win
17,6,0,177.8,182.88,Orthodox,1.34,25,4.09,61,1.63,33,80,2.7,win
26,14,0,170.18,175.26,Orthodox,2.63,65,2.28,35,2.4,72,66,2.7,win
17,12,1,167.64,182.88,Orthodox,1.76,36,4.62,47,5.47,40,0,2.7,win
13,0,0,187.96,190.5,Orthodox,5.72,58,3.46,42,3.99,46,100,2.7,win
1,4,0,185.42,182.88,Orthodox,2.32,41,3.58,56,4.02,50,57,2.7,loss
34,9,0,177.8,187.96,Orthodox,3.54,53,3.19,51,2.32,40,55,2.7,win
30,25,1,185.42,182.88,Orthodox,1.11,62,2.16,38,0.33,9,28,2.7,win
10,5,0,177.8,180.34,Orthodox,0.18,12,4.03,56,2.67,60,0,2.7,win
13,3,0,167.64,182.88,Orthodox,0.8,51,0,100,3.43,66,100,2.6,win
7,1,0,165.1,170.18,Switch,2.95,53,2.52,57,0,0,71,2.6,win
9,4,0,187.96,182.88,Orthodox,4.86,44,4.99,51,0,0,53,2.6,win
10,5,2,182.88,182.88,Orthodox,0.64,52,1.35,41,1.75,40,0,2.6,win
9,2,0,167.64,175.26,Switch,1.58,37,1.72,60,0.53,50,23,2.6,win
38,14,1,185.42,187.96,Orthodox,1.87,42,1.8,49,1.06,100,35,2.6,win
12,11,0,175.26,187.96,Orthodox,1.65,53,2.96,41,1.03,44,55,2.6,win
14,5,0,167.64,170.18,Orthodox,1.88,22,3.16,59,0.87,37,33,2.6,win
8,5,0,175.26,175.26,Orthodox,3.76,43,5.51,55,2.62,50,100,2.6,win
37,11,0,185.42,190.5,Orthodox,2.23,45,1.53,57,2.48,42,65,2.6,win
15,7,0,177.8,187.96,Southpaw,0.73,20,2.27,46,2.46,44,40,2.5,win
3,2,0,182.88,182.88,Orthodox,0.17,10,1.99,57,4.97,40,100,2.5,win
8,5,0,167.64,182.88,Orthodox,0.66,30,0.82,84,2.47,50,0,2.5,win
